,modelo_trabalho_atual,bancos_dados_usados_dia_a_dia,tamanho_empresa,desafios_gestor,cargo_atual,satisfacao_trabalho,idade,area_formacao,linguagem_principal,nivel_hierarquico,id_participante,linguagens_usadas_dia_a_dia,situacao_trabalho,tamanho_equipe_dados,criterios_escolha_emprego,modelo_trabalho_ideal,regiao_residencia,atua_como_gestor,tempo_busca_emprego_meses,experiencia_dados_anos,setor_atuacao,nivel_ensino,ano,experiencia_anos_num,regiao_origem,entrevistas_ultimos_6m,genero,uf_residencia,motivos_insatisfacao,salario_medio_mensal,planos_mudar_emprego,grupo_cargo,faixa_idade,experiencia_ti_anos,ferramentas_bi_usadas_dia_a_dia,tipo_oportunidade_buscada,faixa_salarial
6126,Modelo 100% presencial,PostgreSQL,de 101 a 500,,Analista de Negócios/Business Analyst,True,35.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,SQL,Júnior,6omabdndlzrpozh6ompqho1mjg3aeict,SQL,Empregado (CLT),,Plano de carreira e oportunidades de crescimento profissional,Modelo híbrido com dias fixos de trabalho presencial,Sudeste,False,,Menos de 1 ano,Setor Automotivo,Pós-graduação,2022,0.5,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Masculino,MG,,5000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Analista de Negócios,35-39,de 3 a 4 anos,,,de R$ 4.001/mês a R$ 6.000/mês
6127,Modelo 100% presencial,,de 11 a 50,"Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados., Dividir o tempo entre entregas técnicas e gestão de pessoas., Organizar as informações e garantir a qualidade e confiabilidade.",,True,22.0,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,6ogc5a0um2bechh66ogc5s0lc1bve75o,,Empregado (CLT),Ainda não temos pessoas atuando com dados na empresa,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Nordeste,True,,de 3 a 4 anos,Telecomunicação,Estudante de Graduação,2022,3.5,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Feminino,BA,,1500.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Não se aplica/Outra área,22-24,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 1.001/mês a R$ 2.000/mês
6128,Modelo 100% remoto,"Oracle, MySQL, Firebase, SQL SERVER, PostgreSQL",Acima de 3.000,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,True,32.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,Python,Júnior,6odilsxqrtn4ykq42c06odils10wkv70,"SQL, Python, PHP, JavaScript, Java",Empregado (CLT),,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Sudeste,False,,de 1 a 2 anos,Tecnologia/Fábrica de Software,Graduação/Bacharelado,2022,1.5,Sudeste,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Masculino,RJ,,3500.5,Estou em busca de oportunidades dentro ou fora do Brasil,Outros,30-34,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Microsoft PowerBI,,de R$ 3.001/mês a R$ 4.000/mês
6129,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 501 a 1.000,"Conseguir processar e armazenar um alto volume de dados., Contratar novos talentos., Reter talentos.",,True,28.0,Economia/ Administração / Contabilidade / Finanças/ Negócios,,,6o2qlpn667fk1y56o2xk5efx9bsucha7,,Empregado (CLT),21 - 50,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Sudeste,True,,de 7 a 10 anos,Outra Opção,Graduação/Bacharelado,2022,8.5,,"Sim, fui aprovado mas decidi não mudar de emprego",Masculino,RJ,,14000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,25-29,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 12.001/mês a R$ 16.000/mês
6130,Modelo 100% remoto,"S3, Redis, Amazon Athena, MongoDB, PostgreSQL, Databricks",Acima de 3.000,,Cientista de Dados/Data Scientist,True,28.0,Outras Engenharias,Python,Pleno,6o2cb9koz3apzzvmjx5u6o2cbpwvng4k,"SQL, R, Python",Empregado (CLT),,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo 100% remoto,Sul,False,,de 1 a 2 anos,Finanças ou Bancos,Graduação/Bacharelado,2022,1.5,,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Masculino,RS,,7000.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Cientista de Dados,25-29,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 6.001/mês a R$ 8.000/mês
6131,Modelo 100% remoto,,Acima de 3.000,"Conseguir gerar valor para as áreas de negócios através de estudos e experimentos., Reter talentos., Gestão de equipes no ambiente remoto.",,True,35.0,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,,,6nde00s4sto35bmgvp6nde00sxmx1px4,,Empregado (CLT),Acima de 300 pessoas,"Flexibilidade de trabalho remoto, Ambiente e clima de trabalho, Benefícios",Modelo 100% remoto,Sudeste,True,,Mais de 10 anos,Varejo,Pós-graduação,2022,12.0,,"Sim, fui aprovado mas decidi não mudar de emprego",Masculino,SP,,22500.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Não se aplica/Outra área,35-39,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 20.001/mês a R$ 25.000/mês
6132,Modelo 100% remoto,"SQL SERVER, Databricks",de 1.001 a 3.000,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,True,25.0,Ciências Sociais,SQL,Júnior,6n61wn2i11gdbfnqd06n61wn7ex3heoi,"SQL, Python",Estagiário,,Plano de carreira e oportunidades de crescimento profissional,Modelo 100% remoto,Nordeste,False,,Menos de 1 ano,Tecnologia/Fábrica de Software,Estudante de Graduação,2022,0.5,,"Sim, fui aprovado e mudei de emprego",Masculino,AL,,1500.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Engenheiro de Dados,25-29,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 1.001/mês a R$ 2.000/mês
6133,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Acima de 3.000,"Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados., Conseguir levar inovação para a empresa através dos dados., Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.",,True,40.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,6myp3ypdpmg7thggfjen6myp3ypdprcx,,Empregado (CLT),Acima de 300 pessoas,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Benefícios",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Sudeste,True,,Mais de 10 anos,Área de Consultoria,Pós-graduação,2022,12.0,Sudeste,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,Masculino,SP,,27500.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,40-44,de 1 a 2 anos,,,de R$ 25.001/mês a R$ 30.000/mês
6134,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),SQL SERVER,Acima de 3.000,,Outra Opção,False,25.0,Ciências Sociais,Não utiliza programação,Júnior,6mlq5vhpkvqvpq2yi3qn6mlq5pwl3hhv,Não utilizo nenhuma das linguagens listadas,Estagiário,,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Sudeste,False,,Menos de 1 ano,Tecnologia/Fábrica de Software,Graduação/Bacharelado,2022,0.5,,"Sim, fui aprovado e mudei de emprego",Masculino,SP,"Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa",1500.5,Estou em busca de oportunidades dentro ou fora do Brasil,Outros,25-29,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 1.001/mês a R$ 2.000/mês
6135,Modelo 100% remoto,Oracle,Acima de 3.000,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,True,31.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,SQL,Júnior,6mlbdu2a7qewvi22fjh2q6mlbgi288v2,"SQL, Python",Empregado (CLT),,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Sudeste,False,,Menos de 1 ano,Tecnologia/Fábrica de Software,Pós-graduação,2022,0.5,,"Sim, fui aprovado e mudei de emprego",Masculino,SP,,5000.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Engenheiro de Dados,30-34,de 5 a 6 anos,,,de R$ 4.001/mês a R$ 6.000/mês
6136,Modelo 100% remoto,,Acima de 3.000,"Reter talentos., Gestão de equipes no ambiente remoto., Dividir o tempo entre entregas técnicas e gestão de pessoas.",,False,39.0,Química / Física,,,6mk6s1cw10mhbejhljt6mk6s1yenro26,,Empregado (CLT),Acima de 300 pessoas,"Remuneração/Salário, Ambiente e clima de trabalho, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% remoto,Sudeste,True,,de 4 a 6 anos,Varejo,Doutorado ou Phd,2022,5.0,Sul,"Sim, fiz entrevistas mas não fui aprovado",Masculino,SP,"Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado",18000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,35-39,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 16.001/mês a R$ 20.000/mês
6137,Modelo 100% remoto,,de 1.001 a 3.000,"Garantir retorno do investimento (ROI) em projetos de dados., Conseguir levar inovação para a empresa através dos dados., Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.",,True,35.0,Ciências Sociais,,,6mesdeapeiw1nw436mess1wvp8icw7kp,,Empregado (CLT),11 - 20,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Sudeste,True,,Mais de 10 anos,Tecnologia/Fábrica de Software,Pós-graduação,2022,12.0,,"Sim, fui aprovado e mudei de emprego",Masculino,SP,,27500.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Não se aplica/Outra área,35-39,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 25.001/mês a R$ 30.000/mês
